Empresa;Ano;Asiento;ItemAsiento;Cuenta;LeyendaItem;Debe;Haber
1;2020;716;1;60051810;GS JLB: MOCHA 27377;1419.12;NULL
1;2020;716;2;21424302;GS JLB: MOCHA 27377;256.04;NULL
1;2020;716;3;21122100;GS JLB: MOCHA 27377;NULL;1675.16
1;2020;466;1;21323251;OSDE 1/20;100545.00;NULL
1;2020;466;2;11110288;OSDE 1/20 CH8798;NULL;100545.00
1;2020;594;9;11110288;DEPOSITO CREDICOOP;636096.66;NULL
1;2020;594;10;11110288;DEPOSITO CREDICOOP;119887.99;NULL
1;2020;594;11;11110288;DEPOSITO CREDICOOP;779476.00;NULL
1;2020;594;12;11110288;DEPOSITO CREDICOOP;474536.63;NULL
1;2020;594;13;11110288;DEPOSITO CREDICOOP;413406.60;NULL
1;2020;594;14;11110288;DEPOSITO CREDICOOP;167767.00;NULL
1;2020;797;8;11615130;IMP³429 I.ACTIVO;3674943.92;NULL
1;2020;469;1;21529563;MONOTRIBUTO EB;1349.34;NULL
1;2020;469;2;11110100;MONOTRIBUTO EB;NULL;1349.34
1;2020;470;1;60050050;OSDE F64541;19053.39;NULL
1;2020;470;2;21529500;OSDE F64541;31146.61;NULL
1;2020;470;3;21529530;OSDE F64541;31146.61;NULL
1;2020;470;4;21424302;OSDE F64541;8541.39;NULL
1;2020;470;5;21428511;OSDE F64541;1301.55;NULL
1;2020;470;6;21428501;OSDE F64541;813.47;NULL
1;2020;470;7;21122100;OSDE F64541;NULL;92003.02
1;2020;73;1;60050050;OSDE 12/19 F55072 IL;19053.39;NULL
1;2020;73;2;21529500;OSDE 12/19 F55072 JLB;31146.61;NULL
1;2020;73;3;21529530;OSDE 12/19 F55072 EB;31146.61;NULL
1;2020;73;4;21424102;OSDE 12/19 F55072;8541.39;NULL
1;2020;73;5;21428511;OSDE 12/19 F55072;1301.55;NULL
1;2020;73;6;21428501;OSDE 12/19 F55072;813.47;NULL
1;2020;73;7;21122100;OSDE 12/19 F55072;NULL;92003.02
1;2020;399;5;11110100;METROGAS F534066 OP7928;NULL;1204.66
1;2020;400;2;21424202;EDEN F1395486 OP7929;2254.96;NULL
1;2020;400;4;21122100;EDEN F1395486 OP7929;NULL;12517.12
1;2020;413;3;21122100;EDESUR F103119103;NULL;569.02
1;2020;413;4;60050400;EDESUR F103119105;15952.13;NULL
1;2020;413;5;21424202;EDESUR F103119105;4090.34;NULL
1;2020;413;6;11513752;EDESUR F103119105;454.48;NULL
1;2020;413;7;21122100;EDESUR F103119105;NULL;20496.95
1;2020;413;8;60050400;EDESUR F103119104;5727.47;NULL
1;2020;413;9;21424202;EDESUR F103119104;1482.22;NULL
1;2020;413;10;11513752;EDESUR F103119104;164.69;NULL
1;2020;413;11;21122100;EDESUR F103119104;NULL;7374.38
1;2020;414;1;21122100;EDESUR F103119103 OP7940;569.02;NULL
1;2020;414;2;21122100;EDESUR F103119105 OP7940;20496.95;NULL
1;2020;414;3;21122100;EDESUR F103119104 OP7940;7374.38;NULL
1;2020;414;4;11110288;EDESUR F103119103/ 5/ 4 OP7940;NULL;28440.35
1;2020;415;1;50044460;METROGAS F353024 ;1033.19;NULL
1;2020;415;2;21424202;METROGAS F353024 ;275.43;NULL
1;2020;415;3;21428511;METROGAS F353024;16.32;NULL
1;2020;415;4;21122100;METROGAS F353024 ;NULL;1324.94
1;2020;1021;1;50043100;GUILIANO F53;6560.00;NULL
1;2020;415;5;21122100;METROGAS F353024 OP7941;1324.94;NULL
1;2020;415;6;11110288;METROGAS F353024 OP7941 TRANSF;NULL;1324.94
1;2020;1234;1;50042350;TELEFONICA MOV F200309;6573.44;NULL
1;2020;1234;2;60052350;TELEFONICA MOV F200309;6573.43;NULL
1;2020;1234;3;70062350;TELEFONICA MOV F200309;6573.43;NULL
1;2020;1021;2;21122100;GUILIANO F53;NULL;6560.00
1;2020;1022;1;50043100;GUILIANO F55;5485.00;NULL
1;2020;1111;1;11311810;CREDICOOP CHEQ.RECH.ROTATIVOS;19000.00;NULL
1;2020;1111;2;11311810;CREDICOOP CHEQ.RECH.ROTATIVOS;61300.00;NULL
1;2020;1111;3;11110288;CREDICOOP CHEQ.RECH.ROTATIVOS;NULL;19000.00
1;2020;722;1;50040701;GS DAMIAN: FLUMAT 18996;2737.68;NULL
1;2020;722;2;21424402;GS DAMIAN: FLUMAT 18996;462.38;NULL
1;2020;722;3;21428511;GS DAMIAN: FLUMAT 18996;41.07;NULL
1;2020;722;4;21122100;GS DAMIAN: FLUMAT 18996;NULL;3241.13
1;2020;722;5;50040701;GS DAMIAN: DEHEZA 16459;862.36;NULL
1;2020;722;6;21424402;GS DAMIAN: DEHEZA 16459;137.64;NULL
1;2020;1479;1;50044400;AGUA Y SANEAMIENTO F604504659;235.14;NULL
1;2020;1138;1;11311810;MACRO CHEQ.RECHAZADO TRIMS;19400.00;NULL
1;2020;1138;2;11110287;MACRO CHEQ.RECHAZADO TRIMS;NULL;19400.00
1;2020;1606;1;50042350;TELEFONIA MOVILES F.11483;5949.59;NULL
1;2020;1606;2;21424302;TELEFONIA MOVILES F.11483;1249.41;NULL
1;2020;1606;3;60054850;TELECOM F.3815495;6363.00;NULL
1;2020;17;4;85085720;RENTAS CABA PERCEPCIONES;19.60;NULL
1;2020;257;4;85085720;RENTAS CABA;320.40;NULL
